,symbol
0,TAEQ
1,TEGS
2,GNRS
3,SIXS
4,SIXL
5,SIXH
6,SIXA
7,THNQ
8,SJ
9,CTO
10,TARA
11,ACB
12,HRSTD
13,KC
14,TADS
15,TAAG
16,HUSN
17,ICL
18,CRDF
19,DSS
20,ARB
21,UFPI
22,CLEU
23,DBCP
24,CLPBY
25,GAN
26,GAU
27,LSAC
28,UMAY
29,PMAY
30,BMAY
31,NMTR
32,LYRA
33,DFPH
34,OILND
35,TYG
36,NDP
37,TTP
38,NTG
39,NBAC
40,DEED
41,APG
42,WINTD
43,USO
44,GXG
45,MLPA
46,MLPX
47,GREK
48,PAK
49,FEAC
50,BKAG
51,BKHY
52,ORIC
53,BKSB
54,BKIE
55,BKEM
56,DKNG
57,NBR
58,BRZU
59,DUST
60,JDST
61,NUGT
62,TECS
63,UBOT
64,HIBL
65,TMV
66,ZMLP
67,DPST
68,RETL
69,JNUG
70,MSGE
71,TTT
72,SMDD
73,BOIL
74,UCO
75,DIG
76,OILK
77,STLC
78,STSB
79,STMB
80,PKDCD
81,ENT
82,BBMC
83,CREG
84,CYCC
85,TBLT
86,FRAK
87,KOL
88,EINC
89,CHK
90,BNTC
91,REMX
92,OIH
93,GER
94,GMZ
95,DMYT
96,PACV
97,GMBL
98,BKMC
99,BKSE
100,BKLC
101,WISA
102,KROS
103,KOKU
104,AVCT
105,HSMV
106,SALT
107,FLV
108,KAPR
109,FDG
110,ZNTL
111,CCXX
112,ZGYH
113,OTIS
114,CARR
115,RTX
116,CCAC
117,NAPR
118,SONN
119,AON
120,WIMI
121,WUGI
122,ARNC
123,HWM
124,MTXWF
125,METX
126,BIPC
127,AMZA
128,XOP
129,XES
130,RFM
131,MEXX
132,LBJ
133,APVO
134,EKSO
135,GUSH
136,ERX
137,RSSS
138,MCEP
139,YECO
140,CALB
141,USAU
142,LUMO
143,IGIC
144,ESSC
145,GHIV
146,SCVX
147,GLG
148,TAPR
149,DFNS
150,SUMR
151,BWMX
152,CTIB
153,AIKI
154,IMRA
155,ICD
156,WCTXF
157,KEGX
158,HLPPY
159,OBLG
160,GDYN
161,BFYT
162,CBD
163,GFL
164,BMAR
165,UMAR
166,ECOZ
167,PMAR
168,LRNZ
169,PRMW
170,MTP
171,TT
172,IR
173,BUYZ
174,HELX
175,IQM
176,PASG
177,ATCO
178,SGLB
179,IBTB
180,IBTF
181,IBTI
182,IBTG
183,IBTD
184,IBTH
185,HDIV
186,IBTE
187,IPV
188,IBTJ
189,IBTA
190,WMMVY
191,FFEB
192,DFEB
193,SNUG
194,DLY
195,BAFYY
196,SBSW
197,HCRB
198,AVEO
199,ZCMD
200,GSMG
201,ATCX
202,ALTG
203,EEX
204,TFII
205,DUOT
206,RVMD
207,AWAY
208,MEDS
209,CLPT
210,GRIL
211,HUIZ
212,BATL
213,ARMR
214,NVIV
215,PAE
216,MSBHY
217,VRT
218,BLPH
219,NREF
220,PFHD
221,ONEW
222,COFS
223,LDEM
224,AATRL
225,CSPR
226,BTYS
227,SDGR
228,PPD
229,BEAM
230,SGBX
231,BLCM
232,MARB
233,FLYT
234,ESNG
235,QMJ
236,SNES
237,BFEB
238,UFEB
239,PFEB
240,CFRX
241,CIIC
242,DNOV
243,LATN
244,CCAP
245,OPCH
246,WTRG
247,PGEN
248,ARQT
249,ONEM
250,REYN
251,BDTX
252,MYO
253,IPSEY
254,LZRFY
255,NDBKY
256,ANVS
257,BMEZ
258,ADXN
259,EPAC
260,KLDIW
261,KLDI
262,HCCO
263,GURE
264,GPHBF
265,CLSK
266,OVV
267,CXRXF
268,CNNB
269,SWKH
270,AFTY
271,SRRA
272,ABEQ
273,HYTR
274,VVNT
275,GNSS
276,FFBW
277,DNK
278,VEL
279,STLG
280,STLV
281,LIZI
282,SSUS
283,SMDY
284,IMAB
285,BSBK
286,YTEN
287,BDVSY
288,IDXG
289,PHIO
290,AIRTP
291,LIVK
292,EQH
293,PTAC
294,ALUS
295,TECB
296,AMHC
297,CHPM
298,HUGE
299,RENN
300,MTA
301,RONWF
302,RAHGF
303,BIMI
304,INPX
305,SAQN
306,LCR
307,NTCO
308,JRJC
309,USEG
310,KJAN
311,NJAN
312,EYESW
313,EYES
314,IJAN
315,EJAN
316,MDIA
317,DHC
318,STON
319,PRDO
320,CG
321,NRBO
322,COGNY
323,MKD
324,JOYY
325,SRAC
326,SPSK
327,FLRT
328,YY
329,NWGI
330,GBDV
331,DWEQ
332,DWAW
333,DWUS
334,RCON
335,OI
336,QUIK
337,CCLAY
338,BROG
339,FLSP
340,BRBS
341,FSRV
342,WLDBF
343,NVFY
344,UGAZ
345,JIH
346,NUSI
347,SFTW
348,SPN
349,NAKD
350,PLX
351,RYCE
352,MNPR
353,RAFE
354,INDO
355,IMVT
356,NFH
357,ASNA
358,ESEA
359,TLKGY
360,CCOR
361,AESR
362,DBEH
363,SPUS
364,ELA
365,SGAMY
366,IQSU
367,IQSI
368,HESM
369,GIGA
370,SKLKY
371,IMPUY
372,LGRDY
373,SVCBY
374,CNWGY
375,LSLT
376,WFTUF
377,WFTLF
378,USAI
379,PIXY
380,SPT
381,OCFT
382,RPAR
383,CSTM
384,EH
385,BILL
386,EMNT
387,MCMJ
388,IMBI
389,TRXC
390,MJO
391,XP
392,MJJ
393,GRNV
394,KDFI
395,BBIN
396,TFC
397,TRNF
398,FWP
399,LMPX
400,VIACA
401,VIAC
402,NMRD
403,AFLG
404,AFMC
405,AFSM
406,URNM
407,WKEY
408,CMPR
409,BDEC
410,PDEC
411,UDEC
412,XRF
413,TPIF
414,GRWG
415,TPSC
416,VIIX
417,TVIX
418,FINV
419,LODE
420,SQNS
421,PHOT
422,CPZ
423,KLR
424,SNDE
425,AKER
426,AMRH
427,TNK
428,PINE
429,BXRX
430,TILCF
431,CAN
432,SITM
433,BMY^
434,PFLD
435,ACEL
436,FNOV
437,NUROW
438,NURO
439,MYSZ
440,GCI
441,LMNL
442,CHEP
443,BTAL
444,MOM
445,DRIO
446,USHG
447,GLIF
448,DIVA
449,BRMK
450,MOTO
451,ALIM
452,GLEO
453,DIET
454,MTGP
455,FNGS
456,ETNB
457,RSLS
458,AHCO
459,AHCOW
460,FCPI
461,TMDV
462,DAUG
463,FAUG
464,MOHO
465,TDV
466,YAYO
467,TELA
468,SFL
469,BBAR
470,TCON
471,SKYS
472,VERO
473,SLS
474,GRTX
475,ORSN
476,WEBS
477,WEBL
478,KRKR
479,HIBS
480,CNTG
481,SI
482,ROMO
483,NINOY
484,APXT
485,QK
486,TCOM
487,PEAK
488,BNOV
489,PNOV
490,UNOV
491,NLOK
492,TNXP
493,EXPC
494,DUO
495,NPA
496,OYST
497,SNCA
498,THMO
499,ECOL
500,APDN
501,NEX
502,PROF
503,GXTG
504,BUG
505,HERO
506,GTECW
507,PHGE
508,GTEC
509,POAI
510,CEI
511,AIO
512,ONTO
513,DAO
514,TFFP
515,PHAT
516,CABA
517,BDCY
518,HDLB
519,AIH
520,DJCB
521,LMLB
522,HAPP
523,PGNY
524,SPCE
525,CGIX
526,FJNK
527,BRP
528,IDY
529,PTBD
530,APOP
531,CPST
532,KGJI
533,NNDM
534,DCTH
535,LTBR
536,SFET
537,KRMD
538,WIZ
539,IPHA
540,BRBR
541,PVBC
542,VCON
543,FRHC
544,AEMD
545,RLMD
546,HBT
547,VIR
548,THTX
549,SCHI
550,SCHQ
551,LGH
552,SCHJ
553,QQH
554,BNTX
555,VALT
556,DRTT
557,GBUG
558,SBUG
559,XOUT
560,YYY
561,THBR
562,VIE
563,FREQ
564,PWFL
565,APRE
566,MCBS
567,RCEL
568,NOCT
569,KOCT
570,YAHOY
571,CRNC
572,OVS
573,OVB
574,OVM
575,OVF
576,SSPK
577,OVL
578,WWJD
579,FVE
580,PNTG
581,OCGN
582,WW
583,OPRT
584,APEX
585,TTPH
586,AVDE
587,AVDV
588,NUHY
589,AVUV
590,PTON
591,AVUS
592,BSMR
593,BSMN
594,BSMO
595,BSML
596,RECS
597,REVS
598,BSMP
599,BSMQ
600,BSMT
601,BSMM
602,BSMS
603,SVC
604,NNVC
605,ERBB
606,FRG
607,DDOG
608,PING
609,POTX
610,FLCB
611,XGN
612,AVEM
613,IBDU
614,VIVE
615,IGMS
616,NVST
617,NMCO
618,BBQ
619,PROSY
620,EQX
621,SBE
622,SWTX
623,STSA
624,NET
625,TXG
626,BSJR
627,SDC
628,ALRS
629,BSCT
630,OBMP
631,SCU
632,USAS
633,HQI
634,JAN
635,GRN
636,VEGN
637,CPAA
638,OAC
639,SONG
640,WCLD
641,BLU
642,APO
643,CMCT
644,USEP
645,BSEP
646,PSEP
647,SCPE
648,PIC
649,BBI
650,MCOA
651,AIM
652,ICMB
653,SCTY
654,SUNW
655,EYEG
656,DMTKW
657,DMTK
658,OPGN
659,MOSY
660,TRNX
661,CTRVW
662,SRAX
663,TOPS
664,GLAE
665,ECLN
666,IPWR
667,UI
668,GADS
669,IGLDF
670,HONE
671,CFB
672,JFU
673,GENE
674,TWMC
675,PLIN
676,NFIN
677,NEPH
